name,cat,section,line,original_part_name
אינג'קטור,Mechanical,Air and fuel supply,PIPE SET INJECTOR,PETROL INJECTOR | NE HDI COMPLETE INJECT HOLDER
כנף קדמי ימין,Bodywork, Front wing,FRONT WING,FRONT WING LEFT
כנף קדמי שמאל,Bodywork, Front wing,FRONT WING,FRONT WING RIGHT
בטנה קדמית,Bodywork, Front wing,FRONT WING,WHEEL HOUSING MUDGUARD
אינטרקולר,Mechanical,Turbocharging,AIR AIR DISTRIBUTION CHAMBER,INTERCOOLER ASSEMBLY
מגן קרטר,Bodywork, Underbody protection,UNDERBODY PROTECTION,ENGINE+GEAR-BOX SOUND PROOFING
כבל מכסה מנוע,Bodywork,Bonnet,BONNET,BONNET CONTROL | MANUAL BONNET CONTROL
מכסה מנוע,Bodywork,Bonnet,BONNET,ENGINE BONNET
מנעול מכסה מנוע,Bodywork,Bonnet,BONNET,BONNET LOCK
ציר מכסה מנוע,Bodywork,Bonnet,BONNET,BONNET HINGE
גריל מגן,Bodywork,Front Bumper,FRONT BUMPER,STONE GUARD GRILLE
כיסוי וו גרירה,Bodywork,Front Bumper,FRONT BUMPER,RECESS DOOR
בולם אחורי,Mechanical,Rear shock absorbers ,REAR SHOCK ABSORBER,REAR SUSPENSION SHOCK-ABSORBER
כיסוי ערפל,Bodywork,Front Bumper,FRONT BUMPER,"BUMPER RUBBER BOOT|
FRONT BUMPER MOULDING|
BUMPER PLUG| BUMPER TRIM"
מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,FRONT BUMPER
ניקל מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,ASSY FINISHER BUMPERS
חגורת בטיחות קדמי נהג,Electric unit,Seat Belt,FRONT SAFETY BELTS,SAFETY BELT LEFT
חגורת בטיחות קדמי נוסע,Electric unit,Seat Belt,FRONT SAFETY BELTS,SAFETY BELT RIGHT
סמל גריל,Bodywork,Front Bumper,FRONT BUMPER,BADGE
ספוילר למגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,FRONT BUMPER MOULDING
פלסטיק עליון למגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,"FRONT BUMPER DEFLECTOR |
BUMPER RANGE| BUMPER BRACKET"
קורה מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,"BUMPER ABSORBER|
FRONT FACE CROSSMEMBER| 
BUMPER BRACKET"
קישוט גריל מגן,Bodywork,Front Bumper,FRONT BUMPER,RADIATOR GRILLE MOULDING
בולם אחורי,Mechanical,Rear shock absorbers ,REAR SHOCK ABSORBER,REAR SUSPENSION SHOCK-ABSORBER
תומך מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,"BUMPER BRACKET SET |
BUMPER ABSORBER ASSEMBLY| SET BUMPER LAT REINFORCEMENT"
בולם קדמי,Mechanical,Front shock absorbers ,SHOCK ABSORBERS,FRONT SUSPENSION SHOCK-ABSORB
טפט דלת קדמי שמאל,Bodywork,Front doors,FRONT HINGED SIDE DOORS,BODY FRAME MOULDING LEFT
טפט דלת קדמי ימין,Bodywork,Front doors,FRONT HINGED SIDE DOORS,BODY FRAME MOULDING RIGHT
בומבה,Mechanical,Front axle ,FRONT SUSPENSION CYLINDER SPHERE,SPHERE + GASKET
בוקסה תושבת,Mechanical,Engine assembly,FIXING POWER UNIT,ENGINE FLEXIBLE-BUSH
בורר הילוכים,Mechanical,Gearbox controls ,GEAR CHANGE CONTROL BINACLE SIDE,GEARSHIFT CONTROL RETURN
כיסוי סף אחורי ימין,Equipment,Interior trim,REAR INTERIOR TRIM 4/5 DOORS,WHEEL HOUSING LINING RIGHT
כרית אויר נהג,Electric unit,Airbags,FRONT AIR BAGS,PRYOTECH STEER WHEEL CUSHION
כרית אויר נוסע,Electric unit,Airbags,FRONT AIR BAGS,PASSENGER AIR-BAG
כיסוי סף אחורי שמאל,Equipment,Interior trim,REAR INTERIOR TRIM 4/5 DOORS,WHEEL HOUSING LINING LEFT
ציר דלת קדמי שמאל תחתון,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR HINGE LEFT INF
בית מסנן אויר,Mechanical,Air and fuel supply,AIR FILTER AIR HOSE AIR RESONATOR,DRY TYPE AIR FILTER
מחשב כרית אויר,Electric unit,Airbags,CONTROL UNIT AND SENSOR,AIRBAG CONTROL UNIT
ציר דלת קדמי שמאל עליון,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR HINGE LEFT SUP
בית מסנן סולר,Mechanical,Air and fuel supply,STRAINER FILTER PRIMING PUMP,STRAINER FILTER
בית מסנן שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,FILTER CARTRIDGE BRACKET
ציר דלת קדמי ימין תחתון,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR HINGE RIGHT INF
ציר דלת קדמי ימין עליון,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR HINGE RIGHT SUP
פס קישוט דלת קדמי שמאל,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR PROTECTOR LEFT
פס קישוט דלת קדמי ימין,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR PROTECTOR RIGHT
עוצר דלת קדמי,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR STOP
נקבה חגורת בטיחות קדמי נהג ,Electric unit,Seat Belt,FRONT SAFETY BELTS,SAFETY BELT BUCKLE LEFT
נקבה חגורת בטיחות קדמי נוסע,Electric unit,Seat Belt,FRONT SAFETY BELTS,SAFETY BELT BUCKLE RIGHT
דלת קדמי שמאל,Bodywork,Front doors,FRONT HINGED SIDE DOORS,FRONT DOOR LEFT
דלת קדמי ימין,Bodywork,Front doors,FRONT HINGED SIDE DOORS,FRONT DOOR RIGHT
מנגנון חלון קדמי ימין,Bodywork,Front door windows,FRONT HINGED SIDE DOOR GLASS,ELECTRIC CONTROL WINDOW LIFTER RIGHT
מנגנון חלון קדמי שמאל,Bodywork,Front door windows,FRONT HINGED SIDE DOOR GLASS,ELECTRIC CONTROL WINDOW LIFTER LEFT
מתג חלונות נהג,Bodywork,Front door windows,FRONT HINGED SIDE DOOR GLASS,DRIVER’S CONTROL PAD | CONTACTOR PLATE
בטנה קדמי ימין,Bodywork,Front wing,FRONT WING,WHEEL HOUSING MUDGUARD RIGHT
בטנה קדמי שמאל,Bodywork,Front wing,FRONT WING,WHEEL HOUSING MUDGUARD LEFT
גריל רדיאטור,Bodywork,Grille,RADIATOR GRILLE,RADIATOR GRILLE
מנעול תא מטען,Bodywork,Lock,LOCK AND CONTROL TAILGATE OPENING,TAILGATE LOCK
מגן אחורי,Bodywork,Rear Bumper,REAR BUMPER,REAR BUMPER
קורה מגן אחורי,Bodywork,Rear Bumper,REAR BUMPER,REAR BUMPER BRACKET
תומך מגן אחורי,Bodywork,Rear Bumper,REAR BUMPER,BUMPER BRACKET SET
ספוילר למגן אחורי,Bodywork,Rear Bumper,REAR BUMPER,REAR BUMPER SKIRT
בית מצערת,Mechanical,Air and fuel supply,INTAKE MANIFOLD AIR DISTRIBUTOR,AIR INTAKE THROTTLE VALV HOUSG
בית תרמוסטט,Mechanical,Cooling system,OUTLET TANK SWITCH PROBE,ENGINE WATER OUTLET TANK
ברך הגה,Mechanical,Steering rack ,STEERING RACK COMPONENTS,STEERING CONNECT ROD KIT
גומי בית מסנן שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,ENGINE OIL FILTER BODY GASKET
דלת אחורי ימין,Bodywork,Rear Doors,REAR HINGED SIDE DOORS,REAR DOOR RIGHT
דלת אחורי שמאל,Bodywork,Rear Doors,REAR HINGED SIDE DOORS,REAR DOOR LEFT
עוצר דלת אחורי ,Bodywork,Rear Doors,REAR HINGED SIDE DOORS,DOOR CHECK STRAP
פס קישוט אחורי דלת אחורי ימין,Bodywork,Rear Doors,REAR HINGED SIDE DOORS,DOOR PROTECTOR RIGHT
פס קישוט אחורי דלת אחורי שמאל,Bodywork,Rear Doors,REAR HINGED SIDE DOORS,DOOR PROTECTOR LEFT
ציר דלת אחורי ימין,Bodywork,Rear Doors,REAR HINGED SIDE DOORS,DOOR HINGE RIGHT
ציר דלת אחורי שמאל,Bodywork,Rear Doors,REAR HINGED SIDE DOORS,DOOR HINGE LEFT
בטנה אחורי,Bodywork,Rear wing,REAR WING INNER AND MOULDING,WHEEL HOUSING MUDGUAR
כנף אחורי,Bodywork,Rear wing,REAR WING INNER AND MOULDING,REAR WING
גשר תחתון,Bodywork,Subframe ,FRONT CRADLE,FRT CROSSMEMBER FRT CRADLE
תומך גשר מנוע,Bodywork,Subframe ,FRONT CRADLE,FRONT SUBFRAME EXTENSION
בולם דלת מטען,Bodywork,Tailgate / door ,TAILGATE GLASS AND MOULDING,TAILGATE PROP
דלת מטען,Bodywork,Tailgate / door ,TAILGATE GLASS AND MOULDING,TAILGATE
דלת מטען,Bodywork,Tailgate / door ,TAILGATE GLASS AND MOULDING,TAILGATE
גומי דלת מטען,Bodywork,Tailgate / door ,TAILGATE GLASS AND MOULDING,TAILGATE WEATHERSTRIP
פנס ראשי ימין,Equipment,Exterior lighting ,HEADLIGHT - GLASS - LAMP,HEADLIGHT ASSEMBLY RIGHT
פנס ראשי שמאל,Equipment,Exterior lighting ,HEADLIGHT - GLASS - LAMP,HEADLIGHT ASSEMBLY LEFT
פנס אור מספר,Equipment,Exterior lighting ,LICENSE PLATE LAMP,LICENSE PLATE LAMP
מנוע מגב קדמי,Equipment,Wipe,WINDSCREEN WIPER MOTOR - CONROD ASSY,FRONT WINDOW WIPER MOTOR
מנוע מגב אחורי,Equipment,Wipe,REAR WINDOW WIPER,REAR WINDOW WIPER MOTOR
זרוע מגב אחורי,Equipment,Wipe,REAR WINDOW WIPER,WINDOW WIPER BLADE-HOLDER
מגב אחורי,Equipment,Wipe,REAR WINDOW WIPER,REAR WINDOW WIPER BLADE
זרוע מגב קדמי ימין,Equipment,Wipe,WINDSCREEN WIPER MOTOR - CONROD ASSY,WINDOW WIPER BLADE-HOLDER RIGHT
זרוע מגב קדמי שמאל,Equipment,Wipe,WINDSCREEN WIPER MOTOR - CONROD ASSY,WINDOW WIPER BLADE-HOLDER LEFT
מגב קדמי שמאל,Equipment,Wipe,WINDSCREEN WIPER MOTOR - CONROD ASSY,FLAT WIPER BLADE LEFT
מגב קדמי ימין,Equipment,Wipe,WINDSCREEN WIPER MOTOR - CONROD ASSY,FLAT WIPER BLADE RIGHT
סט מגבים קדימה,Equipment,Wipe,WINDSCREEN WIPER MOTOR - CONROD ASSY,SET OF FLAT WIPER BLADES
ידית אורות,Equipment,Controls under the steering wheel ,SWITCHING BLOCK REMOTE CONTROL,"MULTI-FUNCTION CONTROL UNIT
"
גומי מיצב,Mechanical,Front anti-roll bar,FRONT ANTI ROLL BAR,ANTI ROLL BAR BEARING
גומי מכסה שסתומים,Mechanical,Cylinder head ,CYLINDER HEAD - COVER,GASKET ROCKER COVER
גומי משאבת דלק,Mechanical,Air and fuel supply,FUEL TANK FUEL GAUGE,FUEL TANK SEAL
גומי משאבת וקום,Mechanical, Brake servo,BRAKE VACUUM PUMP,VACUUM PUMP GASKET ASSY | VACUUM PUMP SEAL
גומי משאבת שמן,Mechanical,Lubrication ,ENGINE OIL PUMP CHAIN BELT SUCTION,ENGINE OIL PUMP GASKET
גומי פדל ברקס,Mechanical,Pedal bracket ,BRAKE PEDAL TOE BOARD ASSY CONTACT SWITC,PEDAL COVER | BRAKE PEDAL COVER
גומי פדל מצמד,Mechanical,Clutch,CLUTCH CONTROL MASTER CYLINDER,PEDAL COVER
גומי קולר שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,SEAL
גלגל תנופה,Mechanical,Crankshaft,CRANKSHAFT PULLEY,CLUTCH DUAL FLYWHEEL| FLYWHEEL NEW
גרמו בולם,Mechanical,Front axle ,SHOCK ABSORBERS,SHOCK-ABSORBER ROD PROTECTOR
גרמו הגה,Mechanical,Steering rack ,STEERING RACK COMPONENTS,STEERING GAITER KIT
דוושת בלם,Mechanical,Pedal bracket ,BRAKE PEDAL TOE BOARD ASSY CONTACT SWITC,BRAKE PEDAL
וסת אויר,Mechanical,Turbocharging,TURBO AIR PIPING,AIR DOSER
וסת דלק במשאבת לחץ,Mechanical,Air and fuel supply,INJECTION PUMP BRACKET,REGULATOR
חיישני ABS,Mechanical,ABS/ASR/ESP,SPEED SENSOR,WHEEL ABR SENSOR
חישן טמפרטורה MAP,Mechanical,Air and fuel supply,INJ CALCULATOR SENSOR,AIR INTAKE TEMPERATURE SENSOR
חישן מסילה,Mechanical,Air and fuel supply,PIPE SET INJECTOR,HIGH PRESSURE PETROL SENSOR
חישן מסילה 2,Mechanical,Air and fuel supply,INJ CALCULATOR SENSOR,DIESEL HP SENSOR
חישן קאמשאפט,Mechanical,Air and fuel supply,INJ CALCULATOR SENSOR,CAMSHAFT POSITION SENSOR
חישן קראנק,Mechanical,Air and fuel supply,INJ CALCULATOR SENSOR,ENGINE SPEED SENSOR
יד סרן קדמי,Mechanical,Front axle ,FRONT PIVOTS AND HUBS-HUB BEARING,FRONT SWIVEL PIN
ידית הילוכים,Mechanical,Gearbox controls ,GEAR CHANGE CONTROL BINACLE SIDE,GEARSHIFT CONTROL LEVER
יוניט אור בלם,Mechanical,Pedal bracket ,BRAKE PEDAL TOE BOARD ASSY CONTACT SWITC,BRAKE PEDAL TOE BOARD ASSY CONTACT SWITC
יוניט חום,Mechanical,Cooling system,OUTLET TANK SWITCH PROBE,WATER TEMPERATURE SENSOR | TEMPERATURE SENSOR
יוניט חום 2,Mechanical,Air and fuel supply,INJ CALCULATOR SENSOR,WATER TEMPERATURE SENSOR
יוניט לחץ שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,ENGINE OIL PRESSURE SWITCH
יונק שמן,Mechanical,Lubrication ,ENGINE OIL PUMP CHAIN BELT SUCTION,ENGINE PUMP OIL SUCTION
כבל הילוכים,Mechanical,Gearbox controls ,GEAR CHANGE CONTROL BINACLE SIDE,CONTROL CABLE
כבל מצמד,Mechanical,Clutch,CLUTCH CONVERTER,CABLE-CLUTCH
מאורר מנוע,Mechanical,Cooling system,ENGINE MOTOR DRIVEN FAN TUBE,ENGINE MOTOR-DRIVEN FAN
מד גובה שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,OIL GAUGE
מד כמות אויר,Mechanical,Air and fuel supply,INJ CALCULATOR SENSOR,FLOWMETER
מדיד שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,ENGINE OIL GAUGE
מוט מייצב,Mechanical,Front anti-roll bar,FRONT ANTI ROLL BAR,ANTI-ROLL BAR LINK
מוט פיתול,Mechanical,Front anti-roll bar,FRONT ANTI ROLL BAR,FRONT ANTI-ROLL BAR
מזלג מצמד,Mechanical,Clutch,CLUTCH WTHT RET MECH PLATE BEARING BUFFE,ENGINE CLUTCH FORK
מזרק אוראה,Mechanical,Exhaust ,FRONT CATALYTIC EXHAUST MANIFOLD,CATALYTIC FLUID INJECTOR
מחזיר שמן אחורי (גדול יותר),Mechanical,Crankshaft,CRANKSHAFT PULLEY,CRANKSHAFT SEAL
מחזיר שמן פולי,Mechanical,Crankshaft,CRANKSHAFT PULLEY,CRANKSHAFT SEAL
מחזיר שמן קאמשפט,Mechanical,Timing gear,CAMSHAFT BELT CAMSHAFT GEAR,ENGINE CAMSHAFT SEAL
מיכל משאבת בלם,Mechanical,Master cylinder ,BRAKE MASTER CYLINDER FLUID RESERVOIR,BRAKE FLUID RESERVOIR
מיכל עיבוי,Mechanical,Cooling system,EXPANSN CHAMBER WATER PIPING,ENGINE WATER DEGASSING TANK
מיכל פאפ,Mechanical,Air and fuel supply,FUEL TANK FUEL GAUGE,PEF ADDITIVE RESERVOIR
מיסב גלגל,Mechanical,Front axle ,FRONT PIVOTS AND HUBS-HUB BEARING,FRONT HUB BEARING
מכסה מיכל עיבוי,Mechanical,Cooling system,EXPANSN CHAMBER WATER PIPING,VALVE PLUG
מכסה מילוי שמן,Mechanical,Cylinder head ,CYLINDER HEAD - COVER,ENGINE OIL FILLER PLUG
מכסה מסנן שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,OIL FILTER COVER
מכסה שסתומים,Mechanical,Cylinder head ,CYLINDER HEAD - COVER,CYLINDER-HEAD COVER
ממיר קטליטי,Mechanical,Exhaust ,FRONT CATALYTIC EXHAUST MANIFOLD,CATALYST MUFFLER
מנוע,Mechanical,Engine assembly,ENGINE COVER,DAMPER
מסנן חלקיקים,Mechanical,Exhaust ,FRONT CATALYTIC EXHAUST MANIFOLD,NEW PARTICLE FILTER PIPE
מסנן סולר,Mechanical,Air and fuel supply,SECURING PIPING FUEL FILTER,DIESEL FUEL FILTER SEAL | FILTER CARTRIDGE
מסנן שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,OIL FILTER
מע מצמד,Mechanical,Clutch,CLUTCH WTHT RET MECH PLATE BEARING BUFFE,CLUTCH KIT
משאבת בלם מרכזית,Mechanical,Master cylinder ,BRAKE MASTER CYLINDER FLUID RESERVOIR,BRAKE MASTER CYLINDER
משאבת דלק,Mechanical,Air and fuel supply,FUEL TANK FUEL GAUGE,GAUGE WITH PUMP
משאבת הגה כוח,Mechanical,Power steering,POWER STEERING PUMP,ELECTRIC PUMP POWER STEERING
משאבת וקום,Mechanical, Brake servo,BRAKE VACUUM PUMP,MECHANICAL VACUUM PUMP
משאבת לחץ,Mechanical,Air and fuel supply,PIPE SET INJECTOR,HIGH PRESSURE PETROL PUMP
משאבת לחץ 2,Mechanical,Air and fuel supply,INJECTION PUMP BRACKET,NE DIESEL HIGH PRESSURE PUMP
משאבת מים,Mechanical,Cooling system,WATER PUMP GASKET WATER OUTL TANK,WATER PUMP
משאבת מצמד עליונה,Mechanical,Clutch,CLUTCH CONTROL MASTER CYLINDER,CLUTCH MASTER CYLINDER
משאבת מצמד תחתונה,Mechanical,Clutch,CLUTCH CONTROL MASTER CYLINDER,CLUTCH SLAVE CYLINDER
משאבת שמן,Mechanical,Lubrication ,ENGINE OIL PUMP CHAIN BELT SUCTION,ENGINE OIL PUMP
משולשים קדימה,Mechanical,Front axle ,FRONT PIVOTS AND HUBS-HUB BEARING,WISHBONE FRONT
מתג הנעה,Mechanical, Anti-theft,STEERING LOCK,IGNITION LOCK+DOOR LOCKS
נאבה אחורית,Mechanical,Rear axle,REAR ARMS STOPS HUBS BEARINGS,WHEEL HUB DISC
נאבה קדמית,Mechanical,Front axle ,FRONT PIVOTS AND HUBS-HUB BEARING,WHEEL HUB
נגד מאורר,Mechanical,Cooling system,ENGINE MOTOR DRIVEN FAN TUBE,COOLING FAN ELEC CONTROL UNIT
סתם ראש,Mechanical,Cylinder head ,CYLINDER HEAD - COVER,CYLINDER-HEAD GASKET
פדל גז,Mechanical,Air and fuel supply,ACCELERATOR PEDAL,ACCELERATOR PEDAL
פדל מצמד,Mechanical,Clutch,CLUTCH CONTROL MASTER CYLINDER,CLUTCH PEDAL
פולי מנוע,Mechanical,Crankshaft,CRANKSHAFT PULLEY,CRANKSHAFT PULLEY | SINGLE DAMPING PULLEY
פילטר אוויר,Mechanical,Air and fuel supply,AIR FILTER AIR HOSE AIR RESONATOR,AIR FILTER
פקק בית תרמוסטט,Mechanical,Cooling system,DURITE HOSE COOLING,RADIATOR DRAIN PLUG
צינור מים אחורי,Mechanical,Cooling system,DURITE HOSE COOLING,EXPANSION CHAMBER WATER HOSE | WATER EXHAUST BYPASS PIPE | ENGINE WATER PIPE
צינור מים עליון,Mechanical,Cooling system,DURITE HOSE COOLING,RADIATOR WATER INLET HOSE
צינור מים תחתון,Mechanical,Cooling system,DURITE HOSE COOLING,RADIATOR OUTLET HOSE
צינור עודפים לאינג'קטורים,Mechanical,Air and fuel supply,SECURING PIPING FUEL FILTER,INJECTOR GAS-OIL RETURN PIPE
צינור שימון טורבו,Mechanical,Air and fuel supply,TURBO CHARGER OIL RETURN HOSE,TURBO LUBRICATION PIPE
צינורות טורבו,Mechanical,Turbocharging,TURBO AIR PIPING,DISTRIB.CHAMBER SIDE AIR UNION
צינורית עודפים,Mechanical,Cooling system,DURITE HOSE COOLING,EXPANSION CHAMBER WATER HOSE
ציריה ימין,Mechanical,Driveshafts ,DRIVESHAFT,"DRIVE-SHAFT NEW
RIGHT"
ציריה שמאל,Mechanical,Driveshafts ,DRIVESHAFT,"DRIVE-SHAFT NEW
LEFT"
צלחות אחורה,Mechanical,Rear brakes ,REAR BRAKE DISC CALIPER FRICTION PAD,WHEEL HUB DISC
צלחות קדימה,Mechanical,Front brakes ,FRONT BRAKES DISC CALIPER FRICTION PAD,"2 FRONT DISKS KIT, VENTILATED"
קאמשפט,Mechanical,Timing gear,CAMSHAFT BELT CAMSHAFT GEAR,ENGINE CAMSHAFT
קולר סולר,Mechanical,Air and fuel supply,SECURING PIPING FUEL FILTER,FUEL COOLER
קולר שמן,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,ENGINE OIL-WATER DISTRIB CHAMB
קיט טיימינג,Mechanical,Timing gear,CAMSHAFT BELT CAMSHAFT GEAR,DISTRIBUTION MOTOR KIT
קיט טיימינג עם משאבת מים,Mechanical,Timing gear,CAMSHAFT BELT CAMSHAFT GEAR,COOLANT PUMP + TIMING KIT
קרטר,Mechanical,Lubrication ,ENGINE OIL SUMP FILTER PROBE,ENGINE OIL SUMP
קרן אויר,Mechanical,Air and fuel supply,AIR FILTER AIR HOSE AIR RESONATOR,AIR INTAKE PIPE
רדיאטור מים,Mechanical,Cooling system,COOLING RADIATOR,ENGINE RADIATOR NEW
רפידות אחורה,Mechanical,Rear brakes ,REAR BRAKE DISC CALIPER FRICTION PAD,WHEEL HUB DISC
רפידות קדימה,Mechanical,Front brakes ,FRONT BRAKES DISC CALIPER FRICTION PAD,BRAKE PAD KIT FRONT
שטנגות,Mechanical,Gearbox controls ,GEAR CHANGE CONTROL BINACLE SIDE,GEARSHIFT LINK | SELECTION LINK
שסתום EGR,Mechanical,Exhaust ,GAS RECYCLING CIRCUIT,VALVE EGR
תושבת בולם קדמי 1,Mechanical,Front shock absorbers ,SHOCK ABSORBERS,SHOCK-ABSORBER BRACKET
תושבת בולם קדמי 2,Mechanical,Front axle ,FRONT SPRING FRONT TORSION BAR,SHOCK-ABSORBER BRACKET
תושבת גיר,Mechanical,Engine assembly,FIXING POWER UNIT,"ENGINE ELASTIC MOUNTING BRACKT
LEFT"
תושבת מזלג \ תחתונה ימין,Mechanical,Engine assembly,FIXING POWER UNIT,ANTI-TORQUE LINK
תושבת מנוע עליונה ימין,Mechanical,Engine assembly,FIXING POWER UNIT,"ENGINE MOUNTING BRACKET
RIGHT SUP | ENGINE ELASTIC MOUNTING BRACKT
RIGHT
SUP"
תושבת מנוע תחתונה ימין,Mechanical,Engine assembly,FIXING POWER UNIT,"ENGINE MOUNTING BRACKET
INF D"
תפוח הגה ,Mechanical,Steering rack ,STEERING RACK COMPONENTS,STEERING ROD BALLJOINT KIT
תפוח ידית הילוכים 1,Mechanical,Gearbox controls ,GEAR CHANGE CONTROL BINACLE SIDE,GEAR LEVER KNOB
תפוח מזלג,Mechanical,Clutch,CLUTCH WTHT RET MECH PLATE BEARING BUFFE,CLUTCH FORK BALL-JOINT
מסילת אינג'קטורים,Mechanical,Air and fuel supply,PIPE SET INJECTOR,INJECTOR FEED RAMP
תפוח ידית הילוכים 2,Mechanical,Gearbox controls ,AUTOMATIC GEARBOX CONTROL LEVER,GEAR LEVER KNOB
סמל אחורי דלת מטען,Bodywork,Tailgate / door ,BADGES - ADSHESIVE DECALS,BADGE
גשר עליון,Bodywork,Transverse front section  ,FRONT FRAME,"FRONT FACE CROSSMEMBER
SUP"
כונס אויר ימין,Bodywork,Transverse front section  ,FRONT FRAME,"AIR ANTI-RECYCLING BULKHEAD
LEFT"
כונס אויר שמאל,Bodywork,Transverse front section  ,FRONT FRAME,"AIR ANTI-RECYCLING BULKHEAD
RIGHT"
פח חזית,Bodywork,Transverse front section  ,FRONT FRAME,FRONT FRAME FACE
גשר תחתון,Bodywork,Transverse front section  ,FRONT FRAME,"FRONT FACE CROSSMEMBER
INF ASS"
פלסטיק תחתון,Bodywork,underbody protection,UNDERBODY PROTECTION,AIR DEFLECTOR
ידית תא מטען,Bodywork,Lock,LOCK AND CONTROL TAILGATE OPENING,REAR HANDLE
סטרייקר דלת מטען,Bodywork,Lock,LOCK AND CONTROL TAILGATE OPENING,BOOT LOCKING STRIKER
ידית דלת קדמי,Bodywork,Front door control,FRONT HINGED SIDE DOOR CONTROL,DOOR HANDLE
מנעול דלת קדמי,Bodywork,Front door control,FRONT HINGED SIDE DOOR CONTROL,DOOR LOCK
סטרייקר מנעול דלת קדמית,Bodywork,Front door control,FRONT HINGED SIDE DOOR CONTROL,DOOR LOCK STRIKER
ידית פנימית קדמית,Bodywork,Front door control,FRONT HINGED SIDE DOOR CONTROL,HINGED DOOR OPENING INT CTRL
בסיס ידית חיצונית קידמית,Bodywork,Front door control,FRONT HINGED SIDE DOOR CONTROL,DOOR HANDLE HOLDER
